2025-05-22 04:10:41,371 - Episode 130 | Reward: 1.0 | Steps: 97 | Distance: 0.0
2025-05-22 04:10:41,389 - Episode 131 | Reward: 1.0 | Steps: 79 | Distance: 0.0
2025-05-22 04:10:41,427 - Episode 132 | Reward: 1.0 | Steps: 57 | Distance: 0.0
2025-05-22 04:10:41,486 - Episode 133 | Reward: 1.0 | Steps: 382 | Distance: 0.0
2025-05-22 04:10:41,515 - Episode 134 | Reward: 1.0 | Steps: 226 | Distance: 0.0
2025-05-22 04:10:41,524 - Episode 135 | Reward: 1.0 | Steps: 101 | Distance: 0.0
2025-05-22 04:10:41,560 - Episode 136 | Reward: 1.0 | Steps: 272 | Distance: 0.0
2025-05-22 04:10:41,566 - Episode 137 | Reward: 1.0 | Steps: 13 | Distance: 0.0
2025-05-22 04:10:41,577 - Episode 138 | Reward: 1.0 | Steps: 53 | Distance: 0.0
2025-05-22 04:10:41,588 - Episode 139 | Reward: 1.0 | Steps: 17 | Distance: 0.0
2025-05-22 04:10:41,632 - Episode 140 | Reward: 1.0 | Steps: 380 | Distance: 0.0
2025-05-22 04:10:41,663 - Episode 141 | Reward: 1.0 | Steps: 394 | Distance: 0.0
2025-05-22 04:10:41,720 - Episode 142 | Reward: 1.0 | Steps: 514 | Distance: 0.0
2025-05-22 04:10:41,726 - Episode 143 | Reward: 1.0 | Steps: 45 | Distance: 0.0
2025-05-22 04:10:41,761 - Episode 144 | Reward: 1.0 | Steps: 204 | Distance: 0.0
2025-05-22 04:10:41,784 - Episode 145 | Reward: 1.0 | Steps: 190 | Distance: 0.0
2025-05-22 04:10:41,826 - Episode 146 | Reward: 1.0 | Steps: 456 | Distance: 0.0
2025-05-22 04:10:41,839 - Episode 147 | Reward: 1.0 | Steps: 75 | Distance: 0.0
2025-05-22 04:10:41,865 - Episode 148 | Reward: 1.0 | Steps: 150 | Distance: 0.0
2025-05-22 04:10:41,887 - Episode 149 | Reward: 1.0 | Steps: 198 | Distance: 0.0
2025-05-22 04:10:41,904 - Episode 150 | Reward: 1.0 | Steps: 138 | Distance: 0.0
2025-05-22 04:10:41,915 - Episode 151 | Reward: 1.0 | Steps: 112 | Distance: 0.0
2025-05-22 04:10:41,955 - Episode 152 | Reward: 1.0 | Steps: 455 | Distance: 0.0
2025-05-22 04:10:41,988 - Episode 153 | Reward: 1.0 | Steps: 301 | Distance: 0.0
2025-05-22 04:10:41,992 - Episode 154 | Reward: 1.0 | Steps: 20 | Distance: 0.0
2025-05-22 04:10:41,998 - Episode 155 | Reward: 1.0 | Steps: 11 | Distance: 0.0
2025-05-22 04:10:42,005 - Episode 156 | Reward: 1.0 | Steps: 66 | Distance: 0.0
2025-05-22 04:10:42,033 - Episode 157 | Reward: 1.0 | Steps: 188 | Distance: 0.0
2025-05-22 04:10:42,038 - Episode 158 | Reward: 1.0 | Steps: 39 | Distance: 0.0
2025-05-22 04:10:42,046 - Episode 159 | Reward: 1.0 | Steps: 1 | Distance: 0.0
2025-05-22 04:10:42,067 - Episode 160 | Reward: 1.0 | Steps: 230 | Distance: 0.0
2025-05-22 04:10:42,084 - Episode 161 | Reward: 1.0 | Steps: 76 | Distance: 0.0
2025-05-22 04:10:42,118 - Episode 162 | Reward: 1.0 | Steps: 325 | Distance: 0.0
2025-05-22 04:10:42,124 - Episode 163 | Reward: 1.0 | Steps: 35 | Distance: 0.0
2025-05-22 04:10:42,169 - Episode 164 | Reward: 1.0 | Steps: 159 | Distance: 0.0
2025-05-22 04:10:42,191 - Episode 165 | Reward: 1.0 | Steps: 302 | Distance: 0.0
2025-05-22 04:10:42,200 - Episode 166 | Reward: 1.0 | Steps: 49 | Distance: 0.0
2025-05-22 04:10:42,214 - Episode 167 | Reward: 1.0 | Steps: 135 | Distance: 0.0
2025-05-22 04:10:42,233 - Episode 168 | Reward: 1.0 | Steps: 46 | Distance: 0.0
2025-05-22 04:10:42,240 - Episode 169 | Reward: 1.0 | Steps: 23 | Distance: 0.0
2025-05-22 04:10:42,269 - Episode 170 | Reward: 1.0 | Steps: 21 | Distance: 0.0
2025-05-22 04:10:42,313 - Episode 171 | Reward: 1.0 | Steps: 308 | Distance: 0.0
2025-05-22 04:10:42,333 - Episode 172 | Reward: 1.0 | Steps: 64 | Distance: 0.0
2025-05-22 04:10:42,441 - Episode 173 | Reward: 1.0 | Steps: 792 | Distance: 0.0
2025-05-22 04:10:42,481 - Episode 174 | Reward: 1.0 | Steps: 38 | Distance: 0.0
2025-05-22 04:10:42,526 - Episode 175 | Reward: 1.0 | Steps: 227 | Distance: 0.0
2025-05-22 04:10:42,542 - Episode 176 | Reward: 1.0 | Steps: 94 | Distance: 0.0
2025-05-22 04:10:42,563 - Episode 177 | Reward: 1.0 | Steps: 143 | Distance: 0.0
2025-05-22 04:10:42,570 - Episode 178 | Reward: 1.0 | Steps: 20 | Distance: 0.0
2025-05-22 04:10:42,583 - Episode 179 | Reward: 1.0 | Steps: 57 | Distance: 0.0
2025-05-22 04:10:42,600 - Episode 180 | Reward: 1.0 | Steps: 104 | Distance: 0.0
2025-05-22 04:10:42,618 - Episode 181 | Reward: 1.0 | Steps: 87 | Distance: 0.0
2025-05-22 04:10:42,636 - Episode 182 | Reward: 1.0 | Steps: 104 | Distance: 0.0
2025-05-22 04:10:42,649 - Episode 183 | Reward: 1.0 | Steps: 43 | Distance: 0.0
2025-05-22 04:10:42,658 - Episode 184 | Reward: 1.0 | Steps: 19 | Distance: 0.0
2025-05-22 04:10:42,708 - Episode 185 | Reward: 1.0 | Steps: 538 | Distance: 0.0
2025-05-22 04:10:42,722 - Episode 186 | Reward: 1.0 | Steps: 132 | Distance: 0.0
2025-05-22 04:10:42,731 - Episode 187 | Reward: 1.0 | Steps: 10 | Distance: 0.0
