env,algo,run_id,seed,r_max,r_end,delta_post,s_final,delta_tol,slope_tol,trend_strict,r_max_relaxed,r_end_relaxed,delta_post_relaxed,s_final_relaxed,delta_tol_relaxed,slope_tol_relaxed,trend_relaxed
CartPole-v1,a2c,20251026_181159_357841_pid984753_seed0,0,492.3799987792969,379.25399993896485,-113.12599884033204,-100.0,-24.618999938964848,4.923799987792969,post_peak_degradation,473.6339996337891,492.3799743652344,18.7459747314453,-1.2088890923394047,-47.36339996337891,9.472679992675781,converged_relaxed
CartPole-v1,a2c,20251026_181200_361708_pid984760_seed0,0,500.0,469.38800048828125,-30.61199951171875,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-21.882222493489582,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181205_035333_pid984775_seed0,0,336.89999694824223,251.10799865722657,-85.79199829101566,-70.75999755859377,-16.84499984741211,3.3689999694824224,post_peak_degradation,336.5919973754883,336.4599914550781,-0.13200592041016534,-2.408888753255212,-33.65919973754883,6.731839947509766,converged_relaxed
CartPole-v1,a2c,20251026_181206_012194_pid984780_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181207_000006_pid984782_seed0,0,336.89999694824223,251.10799865722657,-85.79199829101566,-70.75999755859377,-16.84499984741211,3.3689999694824224,post_peak_degradation,336.5919973754883,336.4599914550781,-0.13200592041016534,-2.408888753255212,-33.65919973754883,6.731839947509766,converged_relaxed
CartPole-v1,a2c,20251026_181207_863321_pid984783_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181209_719061_pid984794_seed0,0,500.0,427.7040002441407,-72.29599975585933,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-12.646666802300343,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181508_505700_pid985460_seed0,0,500.0,466.17400024414064,-33.82599975585936,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-17.971111382378474,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181508_872873_pid985461_seed0,0,500.0,457.32600036621096,-42.67399963378904,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-17.76888902452257,-50.0,10.0,uncertain
CartPole-v1,a2c,20251026_181511_056304_pid985466_seed0,0,500.0,470.0,-30.0,-100.0,-25.0,5.0,post_peak_degradation,500.0,500.0,0.0,-22.22222222222222,-50.0,10.0,uncertain
