R_max,t_peak,R_end,delta_post,s_final,sigma_final,n_eval,env,algo,run_id,regime
443.4239990234375,2980000.0,408.6614752197265,-34.76252380371096,2.095191301618302,19.625082536472387,150,Hopper-v4,a2c,20251108_205500_264614_pid3217588_seed0,plateau
881.536865234375,2660000.0,579.5778918457031,-301.9589733886719,-16.29964338030134,104.94248375832971,150,Hopper-v4,a2c,20251109_132104_631872_pid3358648_seed0,post_peak_degrade
500.49765625,2820000.0,461.46995849609374,-39.02769775390624,1.6621568952287962,21.773163014255115,150,Hopper-v4,a2c,20251108_180322_877427_pid3196730_seed0,plateau
406.1445068359375,3000000.0,343.01752258300786,-63.12698425292962,6.154748535156249,33.34781164639621,150,Hopper-v4,a2c,20251108_045817_356411_pid3076558_seed0,plateau
1033.56767578125,2460000.0,892.9102453613281,-140.65743041992198,1.4692557198660714,27.47198377167174,150,Hopper-v4,a2c,20251107_214733_016204_pid3009268_seed0,plateau
175.3141845703125,2340000.0,168.94121337890624,-6.372971191406265,0.03467058454240909,0.10969218556802901,150,Hopper-v4,a2c,20251111_182733_217613_pid4071908_seed0,plateau
263.6745300292969,2980000.0,250.1036309814453,-13.570899047851583,1.4710965837751115,11.505690414274065,150,Hopper-v4,a2c,20251111_131853_718650_pid4015444_seed0,plateau
272.74842529296876,3000000.0,258.86404785156253,-13.88437744140623,1.10254843575614,7.3497932501212055,150,Hopper-v4,a2c,20251111_044536_733193_pid3925774_seed0,plateau
1110.1406494140624,2880000.0,1025.2619091796873,-84.87874023437507,34.562798200334825,189.13250721412578,150,Hopper-v4,a2c,20251108_194436_998689_pid3209024_seed0,plateau
191.52469787597656,2760000.0,186.91351837158203,-4.611179504394528,0.0911961146763401,2.8652613673024705,150,Hopper-v4,a2c,20251110_032333_946621_pid3671311_seed0,plateau
248.36221618652343,2760000.0,233.72723602294923,-14.634980163574198,-0.8223414829799103,6.8893718666555825,150,Hopper-v4,a2c,20251108_231827_306840_pid3235023_seed0,plateau
1444.5569091796874,2520000.0,982.3409606933594,-462.215948486328,17.34942103794643,190.1126685592994,150,Hopper-v4,a2c,20251108_191239_493861_pid3205149_seed0,post_peak_degrade
282.59100341796875,2060000.0,263.33697265624994,-19.25403076171881,-0.09288940429687743,2.3554154404787955,150,Hopper-v4,a2c,20251110_221157_400840_pid3867137_seed0,plateau
362.0123352050781,2980000.0,302.5388827514649,-59.47345245361322,3.600180053710939,30.682008321133626,150,Hopper-v4,a2c,20251111_011422_565271_pid3894854_seed0,plateau
356.06279907226565,2980000.0,342.7683032226563,-13.294495849609348,6.594590541294642,30.21931363198053,150,Hopper-v4,a2c,20251109_060817_713443_pid3291451_seed0,plateau
772.2380859375,2860000.0,564.9562188720703,-207.28186706542976,6.856341116768975,122.37706213992385,150,Hopper-v4,a2c,20251108_113634_786504_pid3142820_seed0,post_peak_degrade
1602.0461791992188,2560000.0,546.9129895019531,-1055.1331896972656,-25.98735133579799,157.39740350773644,150,Hopper-v4,a2c,20251107_220747_642716_pid3012631_seed0,post_peak_degrade
170.35561828613282,2620000.0,170.0526058959961,-0.303012390136729,0.04876055036272321,0.2280760586231325,150,Hopper-v4,a2c,20251111_190604_891238_pid4078706_seed0,plateau
1029.4922607421875,2900000.0,995.5977587890626,-33.89450195312486,17.978548322405135,84.33967156394979,150,Hopper-v4,a2c,20251108_192212_968440_pid3206323_seed0,plateau
170.0839599609375,2840000.0,169.13937194824217,-0.9445880126953341,0.053584943498882306,0.6475528664529726,150,Hopper-v4,a2c,20251110_120008_912679_pid3769293_seed0,plateau
1769.9082763671875,2920000.0,1662.4599707031252,-107.44830566406222,14.370960344587063,125.29587311891135,150,Hopper-v4,a2c,20251109_071557_469298_pid3299775_seed0,plateau
334.14573974609374,2300000.0,312.72168212890625,-21.424057617187486,1.031465802873884,12.745836570495761,150,Hopper-v4,a2c,20251110_015048_560930_pid3656460_seed0,plateau
972.5755981445312,1200000.0,719.5541845703125,-253.02141357421874,23.417889622279574,107.23235241076956,150,Hopper-v4,a2c,20251108_012041_423613_pid3044196_seed0,post_peak_degrade
183.54104919433593,660000.0,170.72506134033205,-12.815987854003879,0.2602141244070871,3.919842062902015,150,Hopper-v4,a2c,20251108_231329_486947_pid3234414_seed0,plateau
400.5280822753906,2900000.0,362.3629205322266,-38.16516174316399,0.40926775251116154,23.677966700884962,150,Hopper-v4,a2c,20251108_225022_310564_pid3231617_seed0,plateau
